Term,Description
Regression,A statistical technique that relates a  dependent variable to one or more  independent (explanatory) variables (17).
Relevance,"The degree to which the data meet the  user  needs. Indicators must provide  information that is appropriate and useful  for guiding policies and programmes as  well as for  decision-making (2,23).Reliability of data The degree to which the results  obtained by a  measurement/procedure  can be  replicated. Consistency of  the data when collected repeatedly  using the same procedures and under  the same circumstances [synonym:  replicability] (13,23)."
Representativeness,"The ability for the indicator to accurately  describe the occurrence of a  health- related event over time and its distribution  in the population by place and  person.  This involves the absence of selection bias  with respect to the population that the  indicator is intended to represent  (23,66)."
Response rate,The number of people who answered the  survey divided by the number of people in  the sample (132).
Responsiveness,"An indicator’s ability to detect  changes over time in response  to interventions, treatments, or  natural progression of the condition  (see  also: “External  responsiveness” and"
Results framework,"A diagram that maps the direct causal  relationships between incremental steps  or results of key activities all the way up  to the overall objective and goal of the  programme or  intervention. It includes  an overall  goal, strategic  objectives, and  intermediate results (100,101).A Z18"
Routine data,"Data generated as part of regular  operational or administrative processes  within the health care  system. These  data are systematically collected during  the delivery of health services and the  management of health  facilities. Routine   data includes patient  demographics,  health  conditions, treatments and   outcomes recorded in health facility   registers, electronic health  records, and  health management information  systems.  It also covers information related to health  service  resources, such as  infrastructure,   human  resources, and financial   transactions. The primary purpose of  routine data is to support daily  operations,  monitor service  delivery, and facilitate    decision-making across various levels of  the health  system. This is also referred to  as administrative data (134,135)."
Routine health information system,"A system that generates data collected  at public and private health facilities  and  institutions, and at  community-level  health care posts and clinics – at regular  intervals of a year at  minimum. The data  give a picture of health  status, health  services and health  resources. Most of the  data are gathered by health care  providers,  by supervisors and through routine health  facility  surveys. The sources of those data  are generally individual health  records,  records of services  delivered, and resource  health records including  financial,  commodity or laboratory records (51,86)."
Sample,Sample is a subset of a population (136).
Sample size,"Refers to the number of observations or  data points gathered from a population for  statistical  analysis. It is a critical element of research  design, significantly affecting  the reliability and validity of a  study’s  findings (17)."
Sampling error,"That part of the difference between a  population value and an estimate  thereof,  derived from a random  sample, which is  due to the fact that only a subset of the  population is enumerated (137)."
Secondary data,"Data that was originally collected for  other  purposes. The data from these  existing sources are considered  secondary.  Although these data were not created for  the purpose at  hand, they facilitate the  development of the required  indicators.  Data from a  census, research,  information  system, etc. are secondary  data (23)."
Sensitivity analysis,"A systematic approach to evaluate how  the variation in the output of a system or  model can be attributed to different  sources of variation in its  inputs. It involves  examining the sensitivity of the  model’s  outcomes or outputs to changes in  individual input  parameters, providing  insights into the relative importance of  each parameter in influencing the overall  results (138)."
Sex,"The biological and physiological characteristics of  females, males and  intersex  persons, such as  chromosomes,  hormones and reproductive organs (68)."
Stakeholder,"Interested  parties, group or organization  who may  affect, be affected  by, or  perceive itself to be affected by a  decision,  activity or outcome of a project or  programme (139).A"
Standard operating procedures,A set of  step-by-step documented  instructions created by an organization to  ensure consistency in carrying out tasks  and that standards are followed (140).
Statistical model,A mathematical model that embodies a  set of statistical assumptions concerning  the generation of sample data (and similar  data from a larger  population) (141).
Statistical significance,Mathematical measure of the probability  that a result is likely due to chance or  another  factor. That is the probability of  rejecting the null hypothesis when the null  hypothesis is actually true (142).
Statistics,"The science of using information  discovered from  collecting, organizing and  studying numbers (26,27,143)."
Stratification,The process of sorting data of subjects into  defined segments or  groups. This method  can be used when sampling a population  for conducting a survey or this can be used  for analysis to control for confounding (23).
Subnational,"Geographical unit below national  level. Subnational levels may  indicate administrative divisions such  as region, district or municipality  levels,  but may also indicate other divisions such  as health  districts."
Surveillance,"The  continuous, systematic  collection,  analysis, interpretation, and dissemination  of data needed for the  planning,  implementation and evaluation of  public health  actions. Some examples  are public health surveillance  system,  indicator-based  surveillance, disease surveillance  system, demographic  surveillance  system, etc. (144)."
Survey,A structured list of questions that collect  data on a specific population (117).
Survey data,A survey is an investigation about the  characteristics of a given population by  means of collecting data from a sample  of that population and estimating their  characteristics through the systematic use  of statistical methodology (145).
Sustainability,"The  source’s potential to remain relevant  and be of the quality needed to generate  information over  time. This depends  not only on the periodicity of the  data  collection, but on the availability of  the financial resources needed to sustain  that source of  data, the presence of a  legal  framework, political  will, among  other factors (23)."
Sustainable Development Goals (SDGs),"These are 17 global objectives that were  agreed by Member States of the United  Nations and aim to transform our  world.  They are a call to action to end poverty  and  inequality, protect the  planet, and  ensure that all people enjoy  health, justice  and  prosperity. It is critical that no one is  left behind (104)."
Target population,"A population about which information  is wanted and estimates are  required. It  can be a group of individuals who meet  specific criteria for inclusion in a  survey.  In relation to health  care, it is often a  group of individuals in need of a specific  intervention or service (146).A Z20"
Timeliness,"When the data is quickly available  and accessible for  use. In the context  of data  quality, the degree to which  reports are submitted on time according  to established  deadlines. Timeliness  involves the availability and reliability  of the data at the time it is needed to  construct related  indicators. Thus, timely  indicators provide better opportunities for  making  health-related decisions (13,23,66)."
Tracer indicator,A highly specified indicator chosen as an  example to represent a broader health  topic (83).
Transparency,"Any information or communication relating to the processing of personal  data is easily accessible and easy  to understand, and that clear and plain  language be  used. Individuals should be  made aware of  risks, rules, safeguards  and rights in relation to the processing of  personal data and how to exercise their  rights in relation to such processing (147)."
Trend,A pattern found in multiple standardized  measurements over  time; it is used to  describe if the data is showing an upward  or downward movement for a specified  time period (148).
Uncertainty measure,"Relates to how the estimate might differ  from the “true  value” .  Common measures  of uncertainty include standard  error,  standard  deviation, confidence  interval,  coefficient of variation and statistical  significance (149).Understandable/Simplicity When an indicator is presented in a  clear,  concise and easily comprehensible  way.  The indicator must be understood by   those responsible for taking action  and,   specifically, by those responsible for   decision-making (23,60)."
Unit of measure,Unit of measure in which the indicator is  presented (e.g. deaths per 1000 live  births;  US$; litres per person per  year). Note:  Percentage is not considered a  unit of measure and indicators that are  presented as percentages should have  the unit of measure field filled in as ‘n/a’
Usefulness/Utility,If the indicator is useful for programme  improvement and policy issues (60).
Validity,"Ability of an indicator to measure what  it is intended to measure (i.e. absence  of distortions, bias or systematic  errors).  The most relevant biases are those related  to selection of the study population  and the quality of the information  compiled (23)."
Verbal autopsy,An interview carried out with family  members or caregivers of the deceased  using a structured questionnaire to elicit  signs and symptoms and other pertinent  information that can later be used to  assign a probable underlying cause of  death (150).A
Vital event,"Events that are captured through civil  registration and vital statistic  systems,  which usually include live  birth, death,  fetal  death, marriage, divorce, annulment  of marriage, judicial separation  of marriage, adoption, legitimation,  recognition of  parenthood, or change of  name or nationality (151)."
Vital statistics,"The systematic record of vital events such  as birth, marriage, divorce, adoption,  death, and cause of death to generate data  and statistics (152)."
Weighting,"A technique used to adjust data to reflect  the known population  profile. It is used  to balance out any significant variance  between actual and target  profile.  Weighted analyses of  population-based  surveys allow us to generalize findings  to a larger or more general  population.  This approach aims to provide unbiased  estimates of descriptive statistics or  model parameters of the population  of interest, which may be a general  population or major population  subgroup.  Incorporating weights in the analyses can  be crucial to achieve statistically  valid,  representative  population-based findings  in surveys and to make adjustments for  sampling errors (153).Y"
Years of life lost,Represents the loss of one year of  life.  Years of life lost are calculated from the  number of deaths multiplied by a global  standard life expectancy at the age at  which death occurs (154).
Years lived with disability,Represents the equivalent of one full year  of healthy life lost due to disability or  ill- health. The prevalence of years lived with  disability are calculated as the prevalence  of each  non-fatal condition multiplied by  its disability weight (155).A Z22     Glossary terms by related thematic  areas Users of this glossary may wish to know which terms align with different data concepts or  thematic  areas. Below the glossary terms are grouped according to thematic  areas. Some  terms may appear in more than one thematic  area.
